id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,team,opp,loc,age,rookie,regpost,gs
cookd001,NYN200010070,2,0,1,0,0,12,0,0,0,0,0,0,0,3,1,0,1,0,0,NYN,SFN,1,30,0,3,0
wendt001,NYN200010070,4,0,1,0,0,24,3,0,0,0,0,0,0,5,4,0,0,0,0,NYN,SFN,1,30,0,3,0
franj001,NYN200010070,3,1,0,0,0,16,1,0,1,0,0,0,0,4,4,0,0,0,0,NYN,SFN,1,30,0,3,0
benia001,NYN200010070,6,1,1,0,0,40,3,0,1,0,0,0,0,8,7,0,0,0,1,NYN,SFN,1,30,0,3,0
whitr002,NYN200010070,6,2,2,0,0,40,4,0,2,0,0,0,0,10,8,0,0,0,0,NYN,SFN,1,30,0,3,0
ortir001,NYN200010070,16,2,4,1,1,95,4,0,2,0,0,0,0,21,17,0,0,0,1,SFN,NYN,0,30,0,3,1
embra001,NYN200010070,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,SFN,NYN,0,30,0,3,0
henrd002,NYN200010070,5,0,0,1,1,18,1,0,0,0,0,0,1,6,5,0,0,0,0,SFN,NYN,0,30,0,3,0
nen-r001,NYN200010070,4,2,1,0,0,34,3,0,1,1,0,0,0,7,6,0,0,0,0,SFN,NYN,0,30,0,3,0
rodrf002,NYN200010070,6,2,1,0,0,47,2,0,2,0,0,0,0,9,8,0,0,0,0,SFN,NYN,0,30,0,3,0
fulta001,NYN200010070,4,3,0,1,1,19,0,1,2,0,0,0,0,6,6,0,0,0,0,SFN,NYN,0,30,0,3,0
joneb003,NYN200010080,27,1,2,0,0,116,5,0,0,1,0,0,0,30,28,0,0,0,0,NYN,SFN,1,30,0,3,1
gardm001,NYN200010080,13,4,2,4,4,71,5,1,1,2,0,1,0,20,18,0,0,0,0,SFN,NYN,0,30,0,3,1
henrd002,NYN200010080,5,1,2,0,0,41,0,0,1,0,0,0,0,7,5,0,0,0,1,SFN,NYN,0,30,0,3,0
embra001,NYN200010080,3,0,0,0,0,9,0,0,0,0,0,0,0,4,4,0,0,0,0,SFN,NYN,0,30,0,3,0
deltm001,NYN200010080,3,1,0,0,0,14,2,0,0,1,0,0,1,5,4,0,0,0,0,SFN,NYN,0,30,0,3,0
ankir001,SLN200010030,8,4,6,4,4,83,3,0,3,1,0,4,0,16,10,0,0,0,0,SLN,ATL,1,30,0,3,1
jamem001,SLN200010030,7,1,1,0,0,32,0,0,0,1,0,0,0,8,7,0,0,0,0,SLN,ATL,1,30,0,3,0
timlm001,SLN200010030,3,2,1,0,0,21,1,0,1,1,0,0,0,6,5,0,0,0,0,SLN,ATL,1,30,0,3,0
reamb001,SLN200010030,6,0,1,0,0,19,1,0,0,0,0,0,0,7,6,0,0,0,0,SLN,ATL,1,30,0,3,0
vered001,SLN200010030,3,1,0,1,0,20,2,0,1,0,0,0,1,6,5,0,0,0,0,SLN,ATL,1,30,0,3,0
maddg002,SLN200010030,12,9,3,7,5,75,2,1,8,0,0,0,0,25,21,0,1,0,2,ATL,SLN,0,30,0,3,1
remlm001,SLN200010030,3,2,0,0,0,22,1,0,2,0,0,0,0,5,5,0,0,0,0,ATL,SLN,0,30,0,3,0
mulht001,SLN200010030,6,0,1,0,0,34,0,0,0,0,0,0,0,7,6,0,0,0,0,ATL,SLN,0,30,0,3,0
rockj001,SLN200010030,2,0,1,0,0,19,0,0,0,0,0,0,0,3,2,0,0,0,0,ATL,SLN,0,30,0,3,0
ligtk001,SLN200010030,1,0,1,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,1,ATL,SLN,0,30,0,3,0
kiled001,SLN200010050,21,4,2,2,2,107,6,0,3,1,0,0,0,27,25,0,0,0,0,SLN,ATL,1,30,0,3,1
chrij002,SLN200010050,1,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,SLN,ATL,1,30,0,3,0
timlm001,SLN200010050,2,3,0,2,2,12,1,1,1,1,0,0,0,5,5,0,0,0,0,SLN,ATL,1,30,0,3,0
morrm001,SLN200010050,3,0,1,0,0,13,0,0,0,0,0,0,0,4,3,0,0,0,0,SLN,ATL,1,30,0,3,0
glavt001,SLN200010050,7,6,1,7,7,53,2,2,2,2,0,0,1,15,12,0,0,1,0,ATL,SLN,0,30,0,3,1
ashba002,SLN200010050,5,1,3,1,1,44,2,0,0,1,0,1,0,9,6,0,0,0,2,ATL,SLN,0,30,0,3,0
burkj001,SLN200010050,4,1,0,1,1,20,0,0,0,1,0,0,1,6,5,0,0,0,0,ATL,SLN,0,30,0,3,0
mulht001,SLN200010050,2,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,ATL,SLN,0,30,0,3,0
ligtk001,SLN200010050,3,0,0,0,0,8,2,0,0,0,0,0,0,3,3,0,0,0,0,ATL,SLN,0,30,0,3,0
remlm001,SLN200010050,3,1,0,1,1,12,1,1,0,0,0,0,0,4,4,0,0,0,0,ATL,SLN,0,30,0,3,0
millk004,ATL200010070,14,4,3,4,4,92,3,2,1,1,0,0,0,21,18,1,0,0,0,ATL,SLN,1,30,0,3,1
mulht001,ATL200010070,2,1,1,2,2,17,1,0,1,0,0,0,0,4,2,0,1,0,0,ATL,SLN,1,30,0,3,0
ligtk001,ATL200010070,1,0,0,1,1,11,1,0,0,0,0,0,0,2,2,0,0,0,0,ATL,SLN,1,30,0,3,0
remlm001,ATL200010070,4,3,0,0,0,30,1,0,3,0,0,0,0,7,7,0,0,0,0,ATL,SLN,1,30,0,3,0
ashba002,ATL200010070,6,0,0,0,0,22,3,0,0,0,0,0,0,6,6,0,0,0,0,ATL,SLN,1,30,0,3,0
stepg001,ATL200010070,11,3,2,1,1,58,2,0,3,0,0,0,0,15,13,0,0,0,0,SLN,ATL,0,30,0,3,1
reamb001,ATL200010070,4,0,2,0,0,28,1,0,0,0,0,0,0,5,3,0,0,0,0,SLN,ATL,0,30,0,3,0
jamem001,ATL200010070,6,0,0,0,0,16,1,0,0,0,0,0,0,6,6,0,0,0,0,SLN,ATL,0,30,0,3,0
morrm001,ATL200010070,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,SLN,ATL,0,30,0,3,0
vered001,ATL200010070,3,0,0,0,0,18,2,0,0,0,0,0,0,3,3,0,0,0,0,SLN,ATL,0,30,0,3,0
petta001,NYA200010210,20,8,1,3,3,109,4,0,6,2,0,0,1,28,25,0,1,0,0,NYA,NYN,1,30,0,5,1
nelsj001,NYA200010210,4,1,0,0,0,19,0,0,1,0,0,0,0,5,5,0,0,0,0,NYA,NYN,1,30,0,5,0
rivem002,NYA200010210,6,1,0,0,0,34,3,0,0,1,0,0,1,8,7,0,0,0,0,NYA,NYN,1,30,0,5,0
stanm003,NYA200010210,6,0,0,0,0,23,3,0,0,0,0,0,0,6,6,0,0,0,0,NYA,NYN,1,30,0,5,0
leita001,NYA200010210,21,5,3,2,2,136,7,0,4,1,0,0,0,28,25,0,0,0,1,NYN,NYA,0,30,0,5,1
franj001,NYA200010210,3,1,0,0,0,24,0,0,1,0,0,0,0,4,4,0,0,0,0,NYN,NYA,0,30,0,5,0
benia001,NYA200010210,3,2,1,1,1,30,1,0,2,0,0,0,0,6,4,0,0,1,0,NYN,NYA,0,30,0,5,0
