date,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost
195407220,4,7,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195407230,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,NY1,1,30,0,1,0
195407240,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,NY1,1,30,0,1,0
195407250,4,7,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,NY1,1,30,0,1,0
195407260,4,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195407280,4,7,5,5,3,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195407290,4,7,5,4,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195407300,4,7,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195407310,4,7,5,5,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195408010,4,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195408020,4,7,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195408030,4,7,4,4,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195408040,4,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195408060,4,7,5,5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195408070,4,7,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195408080,4,7,5,5,3,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195408100,4,7,5,5,3,0,2,5,2,1,1,0,1,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195408110,4,7,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195408120,4,7,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195408130,4,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195408140,4,7,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,MLN,CHN,1,30,0,1,0
195408150,4,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195408170,4,7,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195408180,4,7,4,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195408190,4,7,5,4,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195408200,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,CHN,0,30,0,1,0
195408210,4,7,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,MLN,CHN,0,30,0,1,0
195408220,4,7,3,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,MLN,CHN,0,30,0,1,0
195408250,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MLN,PHI,1,30,0,1,0
195408260,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195408270,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195408291,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195408292,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195408300,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195409040,4,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195409051,4,12,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195409052,4,7,5,4,4,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195504120,2,9,4,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195504140,2,9,6,6,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195504160,2,9,6,6,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195504171,2,9,5,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195504172,2,9,5,5,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,MLN,CIN,0,30,0,1,0
195504180,2,9,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195504190,2,9,4,3,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,MLN,CHN,1,30,0,1,0
195504200,2,9,5,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195504220,2,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195504230,2,9,6,5,3,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,MLN,SLN,1,30,0,1,0
195504260,2,9,4,4,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195504270,2,9,5,5,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195504280,2,9,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195504290,2,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195504300,2,9,5,5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195505010,2,9,4,4,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195505020,2,9,5,4,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,MLN,BRO,0,30,0,1,0
195505030,5,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195505040,5,9,5,5,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195505050,5,9,4,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195505060,4,7,5,5,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,MLN,SLN,0,30,0,1,0
195505070,4,7,5,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,MLN,SLN,0,30,0,1,0
195505080,4,7,4,4,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195505100,4,9,4,4,2,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195505110,4,7,5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,PIT,1,30,0,1,0
195505120,4,7,5,5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195505130,4,7,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,MLN,BRO,1,30,0,1,0
195505140,4,7,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195505151,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195505152,4,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195505170,4,7,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195505180,4,9,4,4,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195505190,4,9,4,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195505200,4,9,4,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195505210,4,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195505220,4,9,4,3,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195505250,4,9,4,4,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,MLN,CIN,1,30,0,1,0
195505260,4,9,4,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195505270,4,9,5,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195505280,4,9,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195505290,3,9,5,5,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195505301,3,4,6,6,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195505302,3,4,5,5,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195506010,3,4,5,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195506020,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195506030,4,9,5,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,MLN,PHI,0,30,0,1,0
195506040,4,9,5,4,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195506051,4,9,5,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195506052,4,9,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195506060,4,9,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MLN,PHI,0,30,0,1,0
195506070,4,9,5,5,4,0,2,3,0,3,0,0,1,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195506080,4,9,5,4,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195506110,4,9,4,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
