version,2
info,visteam,ANA
info,hometeam,TBA
info,site,STP01
info,date,2000/04/21
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,true
info,umphome,riekr901
info,ump1b,emmep901
info,ump2b,davig901
info,ump3b,joycj901
info,pitches,pitches
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,215
info,attendance,22221
info,wp,petkm001
info,lp,hernr001
info,save,perct001
start,erstd001,"Darin Erstad",0,1,7
start,kenna001,"Adam Kennedy",0,2,4
start,vaugm001,"Mo Vaughn",0,3,3
start,salmt001,"Tim Salmon",0,4,9
start,andeg001,"Garret Anderson",0,5,8
start,glaut001,"Troy Glaus",0,6,5
start,spies001,"Scott Spiezio",0,7,10
start,molib001,"Ben Molina",0,8,2
play,8,0,kenna001,32,BCBFBX,63/G
play,8,1,willg001,22,CBBCX,63/G
play,8,1,cairm001,00,X,53/G
play,8,1,vaugg001,22,CBSBC,K/C
play,9,0,vaugm001,00,,NP
sub,hernr001,"Roberto Hernandez",1,0,1
play,9,0,vaugm001,11,BSX,HR/9
play,9,0,salmt001,02,FFX,HR/8
com,"$second back-to-back homers in game for Vaughn and Salmon"
play,9,0,andeg001,32,BBFBSS,K
play,9,0,glaut001,32,BBSSBX,HR/7
play,9,0,spies001,00,X,5/FL
play,9,0,molib001,00,X,S8
play,9,0,gil-b001,11,FBX,63/G
play,9,1,cansj001,00,,NP
sub,perct001,"Troy Percival",0,0,1
play,9,1,cansj001,02,CCS,K
play,9,1,mcgrf001,12,FBFX,8/F8
play,9,1,castv001,12,SFBX,13/G
data,er,schos001,5
data,er,levia001,0
data,er,petkm001,0
data,er,perct001,0
data,er,goodd001,6
data,er,whitr002,0
data,er,morrj004,0
data,er,lopea002,0
data,er,mecij001,0
data,er,hernr001,3
