version,2
info,visteam,LAN
info,hometeam,COL
info,site,DEN02
info,date,2000/07/27
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,reilm901
info,ump1b,kellj901
info,ump2b,coope901
info,ump3b,diazl901
info,pitches,pitches
info,temp,93
info,winddir,tolf
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,229
info,attendance,40724
info,wp,masao001
info,lp,carrg001
info,save,
start,whitd001,"Devon White",0,1,8
start,grudm001,"Mark Grudzielanek",0,2,4
start,shefg001,"Gary Sheffield",0,3,7
start,grees001,"Shawn Green",0,4,9
start,karre001,"Eric Karros",0,5,3
start,hundt001,"Todd Hundley",0,6,2
play,8,1,hammj001,31,BBBCB,W
play,8,1,cirij001,22,SSBFBX,64(1)3/GDP
play,9,0,karre001,00,,NP
sub,jimej001,"Jose Jimenez",1,9,1
play,9,0,karre001,00,X,53/G
play,9,0,hollt001,02,SSS,K23
play,9,0,belta001,01,CX,7/F7D
play,9,1,maynb001,00,,NP
sub,shawj001,"Jeff Shaw",0,3,1
play,9,1,maynb001,22,BCFFFFBFS,K
play,9,1,shumt001,32,BCBBFFFS,K
play,9,1,jimej001,00,,NP
sub,walkt002,"Todd Walker",1,9,11
play,9,1,walkt002,00,X,63/G
data,er,gagne001,5
data,er,masao001,0
data,er,adamt001,1
data,er,fettm001,2
data,er,shawj001,0
data,er,jarvk001,1
data,er,carrg001,7
data,er,lee-d003,0
data,er,choub001,2
data,er,jimej001,0
